"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1610","TC-10. Переход на страницу товара по клику на название/изображение","firefox","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","1354","DDT: Тест логина для пользователя: ronny.howe35@gmail.com","Mobile Safari","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","613","DDT: Тест логина для пользователя: karianne_johnson@gmail.com","Mobile Chrome","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1272","TC-16. Оформление заказа","Mobile Chrome","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","542","TC-03. Вход с пустым полем password (username заполнен)","chromium","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1002","TC-17. Открытие бокового меню","Mobile Chrome","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","562","TC-03. Вход с пустым полем password (username заполнен)","Mobile Chrome","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1884","TC-16. Оформление заказа","firefox","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1220","TC-18. Успешный логаут","chromium","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1386","TC-19. Изменение данных для залогиневшегося пользователя","Mobile Chrome","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1106","TC-11. Добавление товара в корзину из каталога","chromium","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","713","TC-08: Попытка зарегистрироваться с уже существующим username","Mobile Chrome","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1201","TC-13. Корректность состава корзины","chromium","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1379","DDT: Тест логина для пользователя: leah_wuckert@yahoo.com","webkit","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1851","TC-12. Переход в корзину","chromium","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1122","TC-07: Успешная регистрация с валидными данными","Mobile Chrome","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","572","TC-02. Вход с несуществующим логином","chromium","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","625","TC-02. Вход с несуществующим логином","Mobile Chrome","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1405","TC-06: Некорректный phone – показывается ошибка","webkit","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","2177","TC-19. Изменение данных для залогиневшегося пользователя","firefox","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","875","TC-15. кнопка ""Оформить заказ"" недоступна для пустой корзины","chromium","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","5099","TC-13. Корректность состава корзины","Mobile Safari","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","6445","TC-13. Корректность состава корзины","webkit","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","4012","TC-16. Оформление заказа","Mobile Safari","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1227","TC-03. Вход с пустым полем password (username заполнен)","webkit","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","6230","TC-14. Удаление товара из корзины","webkit","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1919","TC-07: Успешная регистрация с валидными данными","webkit","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1327","TC-03. Вход с пустым полем password (username заполнен)","Mobile Safari","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1513","TC-09. Отображение списка товаров после логина","firefox","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","895","TC-15. кнопка ""Оформить заказ"" недоступна для пустой корзины","Mobile Chrome","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1637","TC-10. Переход на страницу товара по клику на название/изображение","Mobile Chrome","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","3272","TC-10. Переход на страницу товара по клику на название/изображение","Mobile Safari","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","933","TC-06: Некорректный phone – показывается ошибка","firefox","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1369","DDT: Тест логина для пользователя: leah_wuckert@yahoo.com","Mobile Safari","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","2843","TC-12. Переход в корзину","Mobile Safari","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1622","TC-15. кнопка ""Оформить заказ"" недоступна для пустой корзины","firefox","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","2629","TC-01. Успешный вход с валидными данными","Mobile Safari","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1700","TC-08: Попытка зарегистрироваться с уже существующим username","Mobile Safari","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","3953","TC-10. Переход на страницу товара по клику на название/изображение","webkit","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","882","TC-01. Успешный вход с валидными данными","Mobile Chrome","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1166","TC-14. Удаление товара из корзины","chromium","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","856","TC-05: Регистрация с пустыми полями – показываются ошибки под каждым полем","firefox","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","649","TC-06: Некорректный phone – показывается ошибка","Mobile Chrome","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1202","TC-18. Успешный логаут","Mobile Chrome","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","3836","TC-18. Успешный логаут","webkit","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","3859","TC-11. Добавление товара в корзину из каталога","webkit","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","840","DDT: Тест логина для пользователя: ronny.howe35@gmail.com","firefox","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","4098","TC-14. Удаление товара из корзины","Mobile Safari","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1094","TC-17. Открытие бокового меню","chromium","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","2243","TC-01. Успешный вход с валидными данными","webkit","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","838","DDT: Тест логина для пользователя: leah_wuckert@yahoo.com","firefox","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1261","DDT: Тест логина для пользователя: karianne_johnson@gmail.com","webkit","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","846","DDT: Тест логина для пользователя: karianne_johnson@gmail.com","firefox","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","2527","TC-12. Переход в корзину","firefox","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1153","TC-13. Корректность состава корзины","Mobile Chrome","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1042","TC-03. Вход с пустым полем password (username заполнен)","firefox","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","2518","TC-09. Отображение списка товаров после логина","webkit","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","1811","TC-14. Удаление товара из корзины","firefox","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","981","TC-10. Переход на страницу товара по клику на название/изображение","chromium","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","4415","TC-19. Изменение данных для залогиневшегося пользователя","Mobile Safari","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1042","TC-09. Отображение списка товаров после логина","chromium","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","1123","TC-14. Удаление товара из корзины","Mobile Chrome","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","811","TC-01. Успешный вход с валидными данными","chromium","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1857","TC-06: Некорректный phone – показывается ошибка","Mobile Safari","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1730","TC-02. Вход с несуществующим логином","webkit","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","595","DDT: Тест логина для пользователя: leah_wuckert@yahoo.com","Mobile Chrome","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","3835","TC-18. Успешный логаут","Mobile Safari","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1891","TC-02. Вход с несуществующим логином","firefox","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","516","TC-05: Регистрация с пустыми полями – показываются ошибки под каждым полем","chromium","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","624","TC-06: Некорректный phone – показывается ошибка","chromium","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","551","DDT: Тест логина для пользователя: karianne_johnson@gmail.com","chromium","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
